Label,classification_title,classification_contents
조별리그,"[{'label': 'negative', 'score': 0.9900742173194885}]","[{'label': 'negative', 'score': 0.9390448927879333}]"
조별리그,"[{'label': 'neutral', 'score': 0.8748792409896851}]","[{'label': 'neutral', 'score': 0.9988835453987122}]"
조별리그,"[{'label': 'neutral', 'score': 0.7585748434066772}]","[{'label': 'negative', 'score': 0.9974181652069092}]"
조별리그,"[{'label': 'neutral', 'score': 0.9830262064933777}]","[{'label': 'neutral', 'score': 0.9743449091911316}]"
조별리그,"[{'label': 'neutral', 'score': 0.9962156414985657}]","[{'label': 'neutral', 'score': 0.9765672087669373}]"
조별리그,"[{'label': 'neutral', 'score': 0.9789414405822754}]","[{'label': 'neutral', 'score': 0.9959795475006104}]"
조별리그,"[{'label': 'neutral', 'score': 0.9159871935844421}]","[{'label': 'neutral', 'score': 0.993976354598999}]"
조별리그,"[{'label': 'neutral', 'score': 0.9833722710609436}]","[{'label': 'neutral', 'score': 0.9939256310462952}]"
조별리그,"[{'label': 'neutral', 'score': 0.9195795655250549}]","[{'label': 'neutral', 'score': 0.9911509156227112}]"
조별리그,"[{'label': 'neutral', 'score': 0.9946238994598389}]","[{'label': 'neutral', 'score': 0.9912306070327759}]"
조별리그,"[{'label': 'neutral', 'score': 0.992400050163269}]","[{'label': 'neutral', 'score': 0.9983845949172974}]"
조별리그,"[{'label': 'neutral', 'score': 0.9503400325775146}]","[{'label': 'neutral', 'score': 0.916557252407074}]"
조별리그,"[{'label': 'neutral', 'score': 0.9889794588088989}]","[{'label': 'neutral', 'score': 0.9944467544555664}]"
조별리그,"[{'label': 'neutral', 'score': 0.9612388014793396}]","[{'label': 'neutral', 'score': 0.9991451501846313}]"
조별리그,"[{'label': 'neutral', 'score': 0.9825760126113892}]","[{'label': 'neutral', 'score': 0.9956207871437073}]"
조별리그,"[{'label': 'neutral', 'score': 0.9833722710609436}]","[{'label': 'neutral', 'score': 0.9939256310462952}]"
조별리그,"[{'label': 'neutral', 'score': 0.9951149225234985}]","[{'label': 'neutral', 'score': 0.9927335977554321}]"
조별리그,"[{'label': 'neutral', 'score': 0.9195795655250549}]","[{'label': 'neutral', 'score': 0.9911509156227112}]"
조별리그,"[{'label': 'neutral', 'score': 0.9665696620941162}]","[{'label': 'neutral', 'score': 0.9981098175048828}]"
조별리그,"[{'label': 'neutral', 'score': 0.9935082197189331}]","[{'label': 'neutral', 'score': 0.977586567401886}]"
조별리그,"[{'label': 'neutral', 'score': 0.6065369844436646}]","[{'label': 'neutral', 'score': 0.9094269871711731}]"
조별리그,"[{'label': 'neutral', 'score': 0.9659039378166199}]","[{'label': 'neutral', 'score': 0.9794714450836182}]"
조별리그,"[{'label': 'neutral', 'score': 0.8426633477210999}]","[{'label': 'neutral', 'score': 0.9979276657104492}]"
조별리그,"[{'label': 'neutral', 'score': 0.996249258518219}]","[{'label': 'neutral', 'score': 0.9977076053619385}]"
조별리그,"[{'label': 'negative', 'score': 0.9896230697631836}]","[{'label': 'negative', 'score': 0.9265144467353821}]"
조별리그,"[{'label': 'neutral', 'score': 0.9890678524971008}]","[{'label': 'neutral', 'score': 0.9950579404830933}]"
조별리그,"[{'label': 'neutral', 'score': 0.8145179748535156}]","[{'label': 'neutral', 'score': 0.9973018169403076}]"
조별리그,"[{'label': 'negative', 'score': 0.7944557070732117}]","[{'label': 'negative', 'score': 0.9981568455696106}]"
조별리그,"[{'label': 'neutral', 'score': 0.5533034205436707}]","[{'label': 'neutral', 'score': 0.9906033873558044}]"
조별리그,"[{'label': 'negative', 'score': 0.5543820261955261}]","[{'label': 'neutral', 'score': 0.47677379846572876}]"
조별리그,"[{'label': 'neutral', 'score': 0.626904308795929}]","[{'label': 'neutral', 'score': 0.9955177903175354}]"
조별리그,"[{'label': 'neutral', 'score': 0.8706232905387878}]","[{'label': 'neutral', 'score': 0.9670178294181824}]"
조별리그,"[{'label': 'neutral', 'score': 0.9982433319091797}]","[{'label': 'neutral', 'score': 0.9971814155578613}]"
조별리그,"[{'label': 'neutral', 'score': 0.9936469197273254}]","[{'label': 'neutral', 'score': 0.9971380233764648}]"
조별리그,"[{'label': 'neutral', 'score': 0.8332412838935852}]","[{'label': 'neutral', 'score': 0.9855776429176331}]"
조별리그,"[{'label': 'neutral', 'score': 0.9986234903335571}]","[{'label': 'neutral', 'score': 0.9936477541923523}]"
조별리그,"[{'label': 'negative', 'score': 0.5913740396499634}]","[{'label': 'neutral', 'score': 0.9887102246284485}]"
조별리그,"[{'label': 'negative', 'score': 0.7164292931556702}]","[{'label': 'negative', 'score': 0.6472518444061279}]"
조별리그,"[{'label': 'neutral', 'score': 0.9156227707862854}]","[{'label': 'negative', 'score': 0.99483722448349}]"
조별리그,"[{'label': 'neutral', 'score': 0.9632503390312195}]","[{'label': 'neutral', 'score': 0.9770145416259766}]"
조별리그,"[{'label': 'neutral', 'score': 0.9811051487922668}]","[{'label': 'neutral', 'score': 0.8644108176231384}]"
조별리그,"[{'label': 'neutral', 'score': 0.9628193378448486}]","[{'label': 'neutral', 'score': 0.9643509984016418}]"
조별리그,"[{'label': 'neutral', 'score': 0.9973044395446777}]","[{'label': 'neutral', 'score': 0.9953069090843201}]"
조별리그,"[{'label': 'neutral', 'score': 0.9844418168067932}]","[{'label': 'negative', 'score': 0.9974398612976074}]"
조별리그,"[{'label': 'negative', 'score': 0.992774486541748}]","[{'label': 'negative', 'score': 0.8206582069396973}]"
조별리그,"[{'label': 'neutral', 'score': 0.5118139982223511}]","[{'label': 'negative', 'score': 0.9994412064552307}]"
조별리그,"[{'label': 'negative', 'score': 0.5796905755996704}]","[{'label': 'neutral', 'score': 0.8236824870109558}]"
조별리그,"[{'label': 'neutral', 'score': 0.6659055352210999}]","[{'label': 'neutral', 'score': 0.9952437281608582}]"
조별리그,"[{'label': 'neutral', 'score': 0.9925709366798401}]","[{'label': 'neutral', 'score': 0.7581010460853577}]"
조별리그,"[{'label': 'neutral', 'score': 0.9955796599388123}]","[{'label': 'neutral', 'score': 0.9981226325035095}]"
조별리그,"[{'label': 'neutral', 'score': 0.9965043067932129}]","[{'label': 'neutral', 'score': 0.9993909597396851}]"
조별리그,"[{'label': 'neutral', 'score': 0.8015987277030945}]","[{'label': 'neutral', 'score': 0.9686486721038818}]"
조별리그,"[{'label': 'neutral', 'score': 0.8411621451377869}]","[{'label': 'neutral', 'score': 0.9772845506668091}]"
조별리그,"[{'label': 'neutral', 'score': 0.9524534344673157}]","[{'label': 'neutral', 'score': 0.5947636365890503}]"
조별리그,"[{'label': 'neutral', 'score': 0.9772661328315735}]","[{'label': 'neutral', 'score': 0.9959859251976013}]"
조별리그,"[{'label': 'neutral', 'score': 0.9382655024528503}]","[{'label': 'negative', 'score': 0.654164731502533}]"
조별리그,"[{'label': 'positive', 'score': 0.9057989716529846}]","[{'label': 'neutral', 'score': 0.9924277663230896}]"
조별리그,"[{'label': 'neutral', 'score': 0.967729926109314}]","[{'label': 'neutral', 'score': 0.997173547744751}]"
조별리그,"[{'label': 'neutral', 'score': 0.9931627511978149}]","[{'label': 'neutral', 'score': 0.996690034866333}]"
조별리그,"[{'label': 'neutral', 'score': 0.9872066974639893}]","[{'label': 'neutral', 'score': 0.9942734837532043}]"
조별리그,"[{'label': 'neutral', 'score': 0.8187389969825745}]","[{'label': 'neutral', 'score': 0.9365569949150085}]"
조별리그,"[{'label': 'neutral', 'score': 0.6405540704727173}]","[{'label': 'neutral', 'score': 0.9967431426048279}]"
조별리그,"[{'label': 'neutral', 'score': 0.9190300107002258}]","[{'label': 'neutral', 'score': 0.9966009259223938}]"
조별리그,"[{'label': 'negative', 'score': 0.8287950158119202}]","[{'label': 'neutral', 'score': 0.619249701499939}]"
조별리그,"[{'label': 'neutral', 'score': 0.8255718946456909}]","[{'label': 'neutral', 'score': 0.9992468357086182}]"
조별리그,"[{'label': 'neutral', 'score': 0.9973209500312805}]","[{'label': 'neutral', 'score': 0.9992363452911377}]"
조별리그,"[{'label': 'neutral', 'score': 0.9847717881202698}]","[{'label': 'neutral', 'score': 0.9894670844078064}]"
조별리그,"[{'label': 'neutral', 'score': 0.9231332540512085}]","[{'label': 'neutral', 'score': 0.9175073504447937}]"
조별리그,"[{'label': 'neutral', 'score': 0.9733827710151672}]","[{'label': 'neutral', 'score': 0.9946861267089844}]"
조별리그,"[{'label': 'neutral', 'score': 0.6868616342544556}]","[{'label': 'neutral', 'score': 0.8787551522254944}]"
조별리그,"[{'label': 'neutral', 'score': 0.8237993717193604}]","[{'label': 'neutral', 'score': 0.9924829602241516}]"
조별리그,"[{'label': 'neutral', 'score': 0.9984585046768188}]","[{'label': 'neutral', 'score': 0.9984059929847717}]"
조별리그,"[{'label': 'neutral', 'score': 0.968069851398468}]","[{'label': 'neutral', 'score': 0.9687831401824951}]"
